1	7	86700000	87100000	12
2	11	83700000	84000000	12
3	8	9300000	9700000	7
4	7	125900000	126200000	6
5	11	45600000	45700000	6
6	11	128800000	129000000	6
7	17	53800000	53900000	6
8	16	81000000	81200000	5
9	2	123600000	123800000	4
10	3	1000000	1100000	4
11	3	8900000	9000000	4
12	4	24100000	24300000	4
13	8	29900000	30100000	4
14	14	63500000	63700000	4
15	15	99600000	99800000	4
16	17	70900000	71100000	4
17	21	30800000	30900000	4
18	1	3300000	3400000	3
19	2	44600000	44900000	3
20	2	76800000	76900000	3
21	2	107700000	107800000	3
22	3	118800000	119000000	3
23	4	180000000	180100000	3
24	7	119900000	120100000	3
25	8	139600000	139800000	3
26	8	139900000	140100000	3
27	11	15500000	15700000	3
28	11	129100000	129200000	3
29	12	125100000	125200000	3
30	13	46000000	46200000	3
31	13	72500000	72600000	3
32	13	108300000	108400000	3
33	15	68600000	68700000	3
34	16	1800000	2000000	3
35	19	16500000	16700000	3
36	22	47100000	47300000	3
37	1	48200000	48400000	2
38	1	50600000	50800000	2
39	1	71200000	71400000	2
40	1	84700000	84800000	2
41	1	208900000	209000000	2
42	2	38000000	38100000	2
43	2	158600000	158700000	2
44	2	181700000	181800000	2
45	2	194700000	194800000	2
46	3	25300000	25400000	2
47	3	41500000	41600000	2
48	3	88000000	88200000	2
49	4	140600000	140700000	2
50	4	162800000	163000000	2
51	5	38100000	38200000	2
52	5	110500000	110600000	2
53	5	145200000	145300000	2
54	6	14800000	14900000	2
55	6	28500000	28700000	2
56	6	53400000	53500000	2
57	6	135700000	135900000	2
58	7	27100000	27200000	2
59	7	50700000	50800000	2
60	7	79000000	79100000	2
61	7	89300000	89500000	2
62	9	90800000	90900000	2
63	10	30900000	31000000	2
64	10	78300000	78400000	2
65	10	108400000	108500000	2
66	10	133500000	133600000	2
67	11	56800000	57000000	2
68	11	67000000	67100000	2
69	11	107900000	108100000	2
70	12	11100000	11200000	2
71	12	11800000	11900000	2
72	12	83300000	83500000	2
73	12	104900000	105000000	2
74	12	121300000	121500000	2
75	14	89400000	89500000	2
76	15	61800000	62000000	2
77	15	70900000	71000000	2
78	15	73200000	73300000	2
79	16	63000000	63200000	2
80	17	62300000	62500000	2
81	18	26600000	26800000	2
82	20	49300000	49400000	2
83	20	54600000	54700000	2
84	21	30200000	30300000	2
85	1	18000000	18100000	1
86	1	22200000	22300000	1
87	1	69000000	69100000	1
88	1	87200000	87300000	1
89	1	88900000	89000000	1
90	1	101500000	101600000	1
91	1	107700000	107800000	1
92	1	108400000	108500000	1
93	1	111200000	111300000	1
94	1	111500000	111600000	1
95	1	194200000	194300000	1
96	1	203400000	203500000	1
97	1	231500000	231600000	1
98	1	231800000	231900000	1
99	1	248100000	248200000	1
100	2	21800000	21900000	1
101	2	158200000	158300000	1
102	2	192600000	192700000	1
103	2	218200000	218300000	1
104	2	234200000	234300000	1
105	3	10600000	10700000	1
106	3	29500000	29600000	1
107	3	33100000	33200000	1
108	3	109700000	109800000	1
109	3	137500000	137600000	1
110	4	16500000	16600000	1
111	4	32600000	32700000	1
